name,url,remote_support,adaptive_support,duration,test_type
Teradata Development (New),https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/,Yes,No,9,"K,Remote,Testing"
Time Management (U.S.),https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s/,Yes,Yes,15,"K,Remote,Testing"
Training Development,https://www.shl.com/solutions/products/product-catalog/view/training-development/,Yes,Yes,15,"K,Remote,Testing"
Typing (New),https://www.shl.com/solutions/products/product-catalog/view/typing-new/,Yes,No,2,"S,Remote,Testing"
UiPath RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new/,Yes,No,8,"K,Remote,Testing"
Universal Competency Framework Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,Yes,No,N/A,"C,P,Remote,Testing"
Universal Competency Framework Job profiling guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,Yes,No,N/A,"C,P,Remote,Testing"
Universal Competency Framework Profiler Cards (44),https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,Yes,No,N/A,"C,P,Remote,Testing"
UNIX (New),https://www.shl.com/solutions/products/product-catalog/view/unix-new/,Yes,No,9,"K,Remote,Testing"
VB.NET (New),https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/,Yes,No,10,"K,Remote,Testing"
Verify - Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning/,Yes,Yes,20,"A,Remote,Testing"
Verify - Following Instructions,https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/,Yes,No,8,"A,Remote,Testing"
