name,url,remote_support,adaptive_support,duration,test_type,description
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,No,24,"B,Remote,Testing","Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician. Please note this package is in Americas norm."
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes,No,24,"B,Remote,Testing","Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. The solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. Potential job titles that use this solution include: Production and Assembly Worker, Construction Worker, Extraction Technician. Please note this package is in International norm."
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes,No,49,"A,B,Remote,Testing","Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas'."
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes,No,49,"A,B,Remote,Testing","Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas'."
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes,49,"A,B,P,S,Remote,Testing","The Installation and Repair Technician solution is designed for use with entry-level field technician positions in the telecommunications industry. The solution is focused on positions that involve installing, repairing, and maintaining telecommunications equipment, along with some customer interaction, and little to no specific sales components. Sample tasks may include: installing or repairing end-user telecommunications equipment and services, interacting with customers, and installing, or repairing telecommunications network infrastructure. Potential job titles that use this solution are: Installer, Service Technician, and Customer Installation Technician. There are multiple configurations of this solution available."
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes,48,"A,B,P,S,Remote,Testing","The Insurance Account Manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts. Sample tasks for this job include, but are not limited to: soliciting sales of new or additional products or services; interacting with customers to provide information in response to inquiries about products and services and to handle and resolve complaints; keeping records of customer interactions and transactions; resolving customers' service or billing complaints; determining charges for services requested; collecting deposits or payments; and arranging for billing. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. Multiple configurations of this solution are available."
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes,Yes,24,"A,B,P,S,Remote,Testing","The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. Multiple configurations of this solution are available."
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,Yes,Yes,46,"A,B,P,Remote,Testing","The Insurance Agent solution is for mid-level professional positions in the insurance industry that sell property, casualty, automotive, or other types of insurance. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Sales Professional; Insurance Sales Agent; Producer; Insurance Agent. Multiple configurations of this solution are available."
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,Yes,Yes,49,"A,B,P,Remote,Testing","The Insurance Director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages, offices, or agencies or geographic territories. Sample tasks for this job includes, but is not limited to: directing a group of sales managers or agency managers; having profit and loss responsibility for a district or region; and aligning work with overall company goals. Potential job titles that use this solution are: Regional Managers, Associate Directors, and Managing Directors. Multiple configurations of this solution are available."
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,Yes,Yes,51,"A,B,P,S,Remote,Testing","The Sales Manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales. Sample tasks for this job include, but are not limited to: planning and preparing work schedules; promoting products to customers; training subordinates; analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Insurance Sales Manager, Sales Manager, Assistant Sales Manager, and Sales Supervisor. Multiple configurations of this solution are available."
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,Yes,Yes,57,"A,B,K,P,S,Remote,Testing","The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Potential job titles that use this solution are: Manager, Store Manager, and Branch Manager."
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Yes,Yes,53,"A,B,C,Remote,Testing","Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems. Report Language Availability: English (USA)."
